X,Y,Z
"Cyprus is preparing for mass evacuation of citizens in case of war!","Hundreds of Israelis have already taken refuge in Cyprus arriving amid threats to Israel from Iran and Hezbollah.On August 9 alone Larnaca Airport received 14 flights from five different airlines the last of which arrived at 21:45. Paphos Airport is also active in receiving flights from Tel Aviv with five flights landing on August 9 and 18 more expected to arrive on August 10. Prices for flights from Tel Aviv to Cyprus are rising as many Israelis seek to leave the country for their own safety.Nicosia is in full alert mode and if necessary is ready to implement the Hestia plan to evacuate citizens. Some 10 countries have expressed interest in the evacuation program in recent days according to a statement from Cyprus' deputy government spokesman. Although no official request has yet been made Cyprus is prepared to provide mass evacuation by air if necessary with the appropriate capabilities and infrastructure.Among the countries that have discussed with Nicosia the possibility of evacuating their citizens are the United States Canada as well as a number of European countries such as Germany Belgium and the Netherlands. The UK in turn has its own evacuation plan for its citizens linked to British bases in Cyprus.The geopolitical situation in the region continues to be tense and Cyprus plays a key role in providing security to its neighbors and allies.",1
"A protest was held in Limassol against the entry of an American tanker carrying aviation fuel into the port","On Friday August 9 a protest took place in Limassol the participants of which demanded that the authorities not allow an American tanker transporting aviation jet fuel to stop at the port opposing Cyprus’s involvement in the conflict in Gaza.Cyprus has become the center of international attention amid the worsening situation in the Middle East after the incident with the American tanker Overseas Santorini. The US-flagged vessel carrying 300000 barrels of JP-8 aviation jet fuel for the Israeli military was scheduled to call at the port of Limassol. This could involve Cyprus in a regional conflict.Activists in Spain and Italy had previously disrupted its port calls and Cyprus was tipped to be its possible next stop.The Lebanese newspaper Al Akhbar which supports the Hezbollah movement harshly criticized Cyprus accusing it of subordinating to American interests and collaborating with Israel to the detriment of the Palestinian people. In response the representative of the Cypriot government Konstantinos Letimpiotis emphasized that the Republic of Cyprus will not allow the security of its citizens to be threatened and will remain a party to the solution not the problem.The AKEL party called on the government of Nikos Christodoulides to take into account the possible risks for the country due to the concentration of American forces on the island.Source: alphanews.live",1
"Refugees sue the Republic of Cyprus","The European Commission insists that the Republic of Cyprus has an obligation to give access to asylum procedures to people stuck in the buffer zone. In August there are already 70 people there.46 refugees filed a lawsuit against the Republic of Cyprus accusing the government of refusing to accept their application for refugee status. These people have been living in tents in the demilitarized zone for several months.Commenting on the lawsuit Ioannidis said that the Legal Service was looking into the matter in conjunction with the relevant ministries. “The executive cannot interfere in judicial proceedings so the solution will be found in court” he said.The authorities continue to argue that the presence of refugees in the buffer zone does not oblige them to anything since the government does not have full control over this territory. There is also an argument that the Green Line should not permanently become a new route for refugees seeking to enter the country. Ioannidis criticized the fact that refugees were traveling through Turkey which he called a safe state.Meanwhile a spokeswoman for the European Commission said it was closely monitoring the situation and was in contact with the Cypriot authorities and UNHCR in Cyprus. “The opportunity for any person to apply for international protection on the territory of an EU state including at the border or in a transit zone is provided for by EU law. This is an important element of the right to asylum guaranteed by the European Union Charter of Fundamental Rights (Article 18) and the Geneva Convention” said a European Commission spokeswoman.The text was prepared based on materials from Cyprus Mail Report from the sceneCitizens of Afghanistan Iran Sudan and Cameroon live in the buffer zone on the territory of the Aglanji municipality. In the section of the buffer zone on the territory of Aqaka there are Syrian citizens. From a conversation with them journalists found out that they could well be classified as middle class. More details here.Read 239",1
"There was a dispute between the peacekeepers and the police","The UN peacekeeping force in Cyprus (UNFICYP) has accused the island's authorities of continuing to prevent refugees from applying for international protection status.UNFICYP said another 44 people some of whom arrived by sea were trapped in the buffer zone near the village of Peristerona.It is not known exactly how these people got into the territory of the Republic of Cyprus. If they did arrive by sea this means they were taken from the coast to the buffer zone ineligible to apply.The new group of refugees includes Syrian citizens and Palestinians fleeing the war in Gaza.UNFICYP spokesman Aleem Siddique said: “Overnight [from 31 July to 1 August] 44 refugees were detained. They were denied access to asylum procedures. At least four of them were detained in government-controlled areas and taken by Cypriot police to the buffer zone despite objections raised by UNFICYP and UNHCR.” He added that this situation requires urgent measures as people live in difficult conditions in the buffer zone.UNFICYP protested against placing people in the buffer zone. Because of this according to the Cyprus Mail a dispute arose between the peacekeepers and the police.UNFICYP and UNHCR resources to hold migrants in the buffer zone are already running out. Organizations will soon be unable to continue caring for refugees trapped on the Green Line.Commenting on the current situation Siddique said: “Effective access to asylum procedures and adequate reception conditions for asylum seekers are obligations under international law. We remain committed to working with the government and other stakeholders to find effective solutions to protect those fleeing conflict and persecution.""Meanwhile the far-right party ELAM welcomed the detention of 44 people. “We reiterate that the state has an obligation to prevent illegal migrants from entering government-controlled areas” the party said releasing a video of the arrest.Let us recall that in May the UNHCR stated that there were 30 people in the demilitarized zone who were not given the opportunity by the Cypriot authorities to apply for refugee status. Since then this number has risen to 59 people excluding 44 people detained on the night of July 31 to August 1. Representatives from 12 diplomatic missions in Cyprus visited the buffer zone last week to review the situation.The text was prepared based on materials from Cyprus Mail and PolitisPreviouslyCypriot media spoke with refugees trapped in the buffer zone. The visit was organized by the United Nations Refugee Agency (UNHCR). Read their stories.Read 391",1
"Member of the European Parliament Fidias Panayiotou expressed a desire to cooperate with the Turkish Cypriots","In a 54-second video posted on social media MEP Fidias Panayiotou announced his collaboration with a Turkish Cypriot influencer.Such a statement caused a wide public outcry.The announcement of the collaboration was made in the area of ​​Ledra Street near the checkpoint where Fidias met one of the most famous Turkish Cypriot influencers with more than 256 thousand followers on Instagram. Together they emphasized that content creation can bring people together strengthen friendships and break down barriers regardless of nationality - be it Turkish Cypriot or Greek Cypriot.The reaction to Fidia's video was mixed. Some Internet users in Cyprus expressed support for his initiative regarding it as a message in favor of peace. However some criticized the deputy’s actions especially in light of the symbolic nature of the publication date.Greek media sharply criticized Phidias for choosing a day for such a statement which coincided with the black anniversary of the second phase of the Turkish invasion of 1974 as well as the anniversary of the assassination of Solomos Solomos on August 14 1996.Source: alphanews.live",1
"Nicosia's decision to allow Turkey to attend EU meeting is a strategic step","Nicosia's decision to allow the participation of Turkish Foreign Minister Hakan Fidan in the upcoming informal meeting of the Council of Foreign Ministers of the European Union on August 29 is a strategic move of great political significance.This was stated by government spokesman Konstantinos Letimiotis.Speaking on state radio Letimiotis stressed that this is an act of goodwill that demonstrates the desire of the Greek Cypriot side to resume negotiations on the Cyprus issue.Letimiotis also noted that this step is in line with the EU's approach to Turkey based on gradualism proportionality and reversibility in relations between Brussels and Ankara which depends on progress in resolving the Cyprus issue. At the same time he clarified that the invitation is of a special nature and concerns only the next informal meeting of the foreign ministers.The official representative stressed that the Republic of Cyprus has once again demonstrated its constructive position and now Turkey must show a similar will. Answering a question about possible pressure on Nicosia to allow Turkey into the informal meeting Letimiotis assured that there was no pressure. Nicosia's opinion was sought and agreement given exclusively for the upcoming session in Brussels.Source: philenews.com",1
"Türkiye called Cyprus a “Mossad military base”","The Turkish channel TVNET released an analytical material claiming that Cyprus has become a strategic base for Mossad operations which has caused increased tension in the region.The report said that Southern Cyprus influenced by ""hatred of Turkey"" has become a key element in Israel's strategic plan to strengthen its position in the Eastern Mediterranean. According to her Israel’s creation of a “military command” base in Cyprus is aimed at countering Turkey and ensuring access to the region’s energy resources.The report also quotes an adviser to the Turkish Cypriot leader Ersin Tatar who claims that Southern Cyprus' cooperation with Israel is aimed at obtaining military support in the event of a conflict with Turkey. In addition Turkish Foreign Minister Hakan Fidan noted that after the start of Israeli operations in October the southern part of Cyprus began to be used for military operations against the Gaza Strip.This report is part of a campaign by Turkey and its allies aimed at discrediting the Republic of Cyprus in the international arena. The Cypriot authorities in turn view these statements as an attempt to create a false impression of the country's role in the current conflict.Cyprus requires close attention of the international community to this situation given the growing wave of disinformation and propaganda from Turkey.Source: alphanews.live",1
"‘Government seeking to have 2024 Cyprus growth rate to exceed 4 per cent’","The government now aims for the 2024 growth rate to exceed 4 per cent government spokesman Konstantinos Letymbiotis said following a flash estimate by the Statistical Service for a growth rate of 3.6 per cent (3.7 per cent when adjusted seasonally and based on working days).In a post on X Letymbiotis said that the Cypriot economy continues its upward trend “through the implementation of sound policies of the Christodoulides government”.“Continuing the implementation of sound policies we are aiming for stronger growth in 2024” he added saying that the target is now for the growth rate to exceed 4 per cent a percentage significantly higher than the European Commission’s forecasts.The European Commission’s forecast for the growth rate in Cyprus was 2.8 per cent for 2024 and 2.9 per cent for 2025.Letymbiotis said that the Cypriot economy recorded the second highest growth rate in the EU three percentage points above the EU growth rate (0.8 per cent in the second quarter).“The high growth rate combined with the contraction of unemployment and inflation and the strong fiscal balance allows for the continuation of successful targeted social policies” he added.“We are committed to continue with the same responsible prudent economic policy for an even more modern more resilient Cyprus. Together we will build the Cyprus of hope and perspective” he concluded.",3
"Nicosia-based game studio secures $11.3 million investment","Eschatology Entertainment a PC and console game development studio based in Nicosia on Wednesday announced the closing of an $11.3 million investment round led by KRAFTON with GEM Capital and The Games Fund joining the round. “GEM Capital has further expanded its ownership in the company demonstrating strong commitment to the team” the company said in a statement.It added that “this investment will support the development of the studio’s upcoming Souls-like FPS set in an Apocalyptic Wild West enabling the team to finalise critical development stages and ensure the smooth production and launch of the game”.The announcement also explained that Eschatology Entertainment was established in 2022 by Fuad Kuliev Dmytro Kostiukevych Boris Nikolaev and Viktor Antonov. It further noted that they “assembled a world-class multicultural team with broad entertainment and game development experience”.The announcement pointed out that Eschatology Entertainment has a team of “extraordinary professionals” with backgrounds in studios including Valve Wargaming 4A Games Bluehole Studio GSC Game World and Frag Lab.The team’s track record includes upscaling the world-renowned game project World of Tanks to new regions as well as other globally successful MMOs. Additionally the Visual Director of the studio was behind the art style of Half-Life 2 and Dishonored titles. Other team members have managed published and launched Master of Orion Caliber and Shatterline among other games.The announcement also mentioned that the studio’s previous $4 million investment round (co-led by GEM Capital and The Games Fund) “enabled the initial development phases and assembling an outstanding team”. With this new $11.3 million capital injection Eschatology is on track to release its first project. The game is now in its most active production phase following the completion of pre-production and a showcase vertical slice. “This investment ensures a seamless production process high-quality development and timely release” the announcement said. In addition Eschatology plans to establish a publishing team reflecting their ambitions beyond this initial project.“This deal is more than just a financial investment; it’s a collaborative journey that allows us to fully immerse ourselves in creating a world rich in atmosphere history and tough challenges” said Fuad Kuliev co-founder of the studio. “With the support of our new partner KRAFTON and the ongoing teamwork with old friends GEM Capital and The Games Fund we now have all the resources needed to bring our ambitious vision to life” Kuliev added. Moreover the studio co-founder said that “it is not only an opportunity to finish a unique strong product”. “It is important for us to narrate this incredible story through different games opening with an alternative apocalyptic Wild West setting” Kuliev concluded.Maria Park KRAFTON’s VP and Head of Corporate Development stated that “Eschatology Entertainment has an exciting future ahead of them and we’re delighted to offer support to the team and their innovative ideas”. “This is at the very heart of what KRAFTON’s ‘Scale-Up-the Creative’ strategy is all about – finding the best talent in gaming and working with them to bring their creativity to the whole world” Park added.It should be noted that KRAFTON headquartered in South Korea and established in 2007 encompasses renowned studios such as PUBG STUDIOS Striking Distance Studios and Unknown Worlds focusing on expanding its platforms and services to attract a wider audience.GEM Capital is a gaming-focused investor headquartered in Cyprus with a recent raise of $50 million from European limited partners for investments in 2024 and 2025.In addition the company managed a portfolio with a valuation exceeding $150 million. It supports over 25 companies including Mundfish (Atomic Heart) and Sad Cat Studios (Replaced). In addition the company is also a member of TechIsland Cyprus’ largest non-profit technology association.The Games Fund (TGF) meanwhile is a leading gaming VC fund with offices in Cyprus and New York. It invests in innovative early-stage games and game tech companies in Europe.The fund was founded in 2021 by games industry veterans and long-standing gamers. It holds the largest gaming portfolio in Eastern Europe and Cyprus.",3
"What professions will be in demand in Cyprus until 2032?","Cyprus is expected to experience significant employment growth until 2032 with a projected increase of 52577 people employed representing an increase of 12.1%.The labor market began to recover in 2015 after declining between 2011 and 2015 as the country's economy was hit by the global crisis. 2020 also saw a slight increase in employment despite the impact of the COVID-19 pandemic.The annual labor demand in Cyprus is projected to be 11666 with an annual growth rate of 2.5%. Of these 5258 new jobs will be created to meet development needs while 6408 people will be needed to replace departing employees.The majority of new jobs will be concentrated in the tertiary sector of the economy which will account for 8 out of 10 employees indicating an increasing dependence of the Cypriot economy on the services sector. Of the 10 sectors where the greatest demand for labor is expected 9 are in the tertiary sector and 1 in the secondary sector:Retail trade (1175 people per year 2.5%)
Education (1108 people per year 3.0%)
Health and social care (1038 people per year 4.0%)
Construction (854 people per year 2.1%)
Public administration and defense (782 people per year 1.9%)
Restaurants (710 people per year 3.8%)
Wholesale trade (565 people per year 2.4%)
Hotels (466 people per year 3.6%)
Legal and accounting activities (456 people per year 2.2%)
Information technology (371 people per year 4.0%)Employment growth is expected in all three occupational categories. About half of all jobs will be in middle-level occupations (requiring a high school education) and 4 out of 10 employees will be employed in higher-level occupations (requiring a higher education).Of the 10 professional groups that will be most in demand 4 belong to top-level professions 5 to middle-level professions and 1 to lower-level professions:Shop owners and salespeople (1068 people per year 2.7%)
Household assistants cleaners (934 people per year 2.9%)
Service workers (868 people per year 3.1%)
Accounting assistants and business consultants (863 people per year 2.1%)
Teachers (639 people per year 2.3%)
Construction workers (494 people per year 2.0%)
Medical workers (459 people per year 3.3%)
Machinists and equipment operators (419 people per year 2.5%)
Information and communication technology specialists (417 people per year 5.0%)
Secretaries and administrative workers (411 people per year 1.9%)These data highlight the importance of workforce development and tailoring educational programs to the needs of the labor market to ensure that labor supply and demand are matched in the coming years.Source: larnakaonline.com.cy",3
